CETRTLETJE;MERITVE;SKD Dejavnost - SKUPAJ [B do S];B RUDARSTVO;C PREDELOVALNE DEJAVNOSTI;D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;F GRADBENISTVO;G TRGOVINA, VZDRZEVANJE IN POPRAVILA MOTORNIH VOZIL;H PROMET IN SKLADISCENJE;I GOSTINSTVO;J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;K FINANCNE IN ZAVAROVALNISKE DEJAVNOSTI;L POSLOVANJE Z NEPREMICNINAMI;M STROKOVNE, ZNANSTVENE IN TEHNICNE DEJAVNOSTI;N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI;P IZOBRAZEVANJE;Q ZDRAVSTVO IN SOCIALNO VARSTVO;R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI;S DRUGE DEJAVNOSTI
2008Q1;Stevilo prostih delovnih mest  - SKUPAJ;8766;15;1787;23;43;1985;1180;582;550;103;235;68;368;1062;152;152;284;62;115
2008Q2;Stevilo prostih delovnih mest  - SKUPAJ;8308;8;1349;12;43;2010;1035;540;460;124;171;50;307;1130;121;526;253;52;117
2008Q3;Stevilo prostih delovnih mest  - SKUPAJ;8707;14;1554;23;47;2009;1120;559;561;115;258;43;366;959;103;535;259;82;100
2008Q4;Stevilo prostih delovnih mest  - SKUPAJ;5307;3;844;11;28;1352;676;379;347;93;124;30;279;542;106;161;195;64;73
2009Q1;Stevilo prostih delovnih mest  - SKUPAJ;5600;8;876;14;29;1369;739;321;433;83;170;31;298;641;98;156;216;41;77
2009Q2;Stevilo prostih delovnih mest  - SKUPAJ;5237;6;646;15;31;1238;585;263;434;56;129;33;270;549;86;599;186;35;76
2009Q3;Stevilo prostih delovnih mest  - SKUPAJ;5071;3;860;14;30;820;717;340;364;79;100;38;330;434;66;570;177;46;83
2009Q4;Stevilo prostih delovnih mest  - SKUPAJ;3850;5;717;10;18;647;584;250;284;57;121;31;210;382;61;196;163;50;64
2010Q1;Stevilo prostih delovnih mest  - SKUPAJ;4081;3;727;26;28;651;564;237;281;93;132;23;357;433;75;137;207;41;66
2010Q2;Stevilo prostih delovnih mest  - SKUPAJ;5092;17;892;15;26;833;591;302;398;80;128;30;337;565;74;493;207;40;64
