CETRTLETJE;MERITVE;SKD Dejavnost - SKUPAJ [B do S];B RUDARSTVO;C PREDELOVALNE DEJAVNOSTI;D OSKRBA Z ELEKTRICNO ENERGIJO, PLINOM IN PARO;E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA;F GRADBENISTVO;G TRGOVINA, VZDRZEVANJE IN POPRAVILA MOTORNIH VOZIL;H PROMET IN SKLADISCENJE;I GOSTINSTVO;J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI;K FINANCNE IN ZAVAROVALNISKE DEJAVNOSTI;L POSLOVANJE Z NEPREMICNINAMI;M STROKOVNE, ZNANSTVENE IN TEHNICNE DEJAVNOSTI;N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI;O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI;P IZOBRAZEVANJE;Q ZDRAVSTVO IN SOCIALNO VARSTVO;R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI;S DRUGE DEJAVNOSTI
2008Q1;Stevilo zasedenih delovnih mest - SKUPAJ;752582;3639;213496;7520;8519;71812;104362;44516;28538;19689;22702;3611;34336;23718;43338;57455;47247;10386;7698
2008Q2;Stevilo zasedenih delovnih mest - SKUPAJ;761331;3569;213478;7576;8693;75497;105169;45358;28934;19937;22956;3860;35047;24288;43732;57464;47435;10470;7868
2008Q3;Stevilo zasedenih delovnih mest - SKUPAJ;762760;3499;211647;7556;8739;78743;105119;45556;28892;20021;23121;3897;35410;24714;43535;56590;47386;10354;7981
2008Q4;Stevilo zasedenih delovnih mest - SKUPAJ;765355;3423;208497;7621;8819;79057;106297;45724;29367;20389;23260;3969;36236;24651;43362;58363;47823;10390;8107
2009Q1;Stevilo zasedenih delovnih mest - SKUPAJ;749937;3355;198980;7680;8744;75843;105166;44843;29000;20437;23304;3982;36114;23601;43677;58683;48161;10367;8000
2009Q2;Stevilo zasedenih delovnih mest - SKUPAJ;740702;3314;190982;7782;8920;75522;103842;44138;29238;20425;23242;4059;35959;23318;43991;58833;48637;10434;8066
2009Q3;Stevilo zasedenih delovnih mest - SKUPAJ;735023;3263;186698;7810;8962;75939;102988;43555;29141;20237;22891;4033;36502;23499;44293;58178;48573;10423;8038
2009Q4;Stevilo zasedenih delovnih mest - SKUPAJ;728847;3130;181943;7871;8898;73812;102603;43287;28858;20227;22680;3974;36889;23757;44162;59753;48579;10457;7967
2010Q1;Stevilo zasedenih delovnih mest - SKUPAJ;725381;2984;180877;7899;8921;70145;102161;42789;28648;20233;22740;3964;37262;23852;44490;60569;49236;10581;8030
2010Q2;Stevilo zasedenih delovnih mest - SKUPAJ;725846;2989;180489;7867;9052;69187;101654;42573;28539;20267;22829;3974;37901;24259;44947;60697;49881;10649;8092
2010Q3;Stevilo zasedenih delovnih mest - SKUPAJ;722075;2962;179383;7860;9133;68165;100690;42357;28280;20198;23001;3970;38155;24468;44816;60052;49969;10565;8051
2010Q4;Stevilo zasedenih delovnih mest - SKUPAJ;716349;2920;178395;7820;9028;64819;99592;42081;27700;20245;22883;3937;38087;24386;44409;61560;50069;10430;7988
2011Q1;Stevilo zasedenih delovnih mest - SKUPAJ;704369;2872;176102;7717;8950;59889;98819;41680;27433;20092;22743;3766;37751;23807;43820;61389;49775;10139;7625
2011Q2;Stevilo zasedenih delovnih mest - SKUPAJ;708671;2891;176872;7765;9236;59892;99153;42011;27660;20028;22789;3783;38427;24176;44082;61492;50466;10187;7761
2011Q3;Stevilo zasedenih delovnih mest - SKUPAJ;706508;2853;176731;7784;9462;59036;98646;41923;27623;20053;22906;3711;38196;24012;44025;60941;50734;10140;7732
2011Q4;Stevilo zasedenih delovnih mest - SKUPAJ;705870;2778;178708;7826;9477;55871;98570;41564;27439;20124;22478;3639;38301;24054;43842;62238;51074;10178;7709
2012Q1;Stevilo zasedenih delovnih mest - SKUPAJ;699835;2786;177283;7801;9329;52381;97850;41423;27191;20243;22359;3647;38551;23915;43515;62528;51328;10157;7548
2012Q2;Stevilo zasedenih delovnih mest - SKUPAJ;702458;2804;177130;7833;9565;54234;97682;41556;27237;20410;22324;3631;37795;23927;43763;62628;51991;10308;7640
2012Q3;Stevilo zasedenih delovnih mest - SKUPAJ;696760;2756;175762;7828;9560;53372;96767;41321;27130;20302;22101;3642;37817;23811;43335;61404;51997;10207;7648
2012Q4;Stevilo zasedenih delovnih mest - SKUPAJ;689734;2689;173681;7812;9367;50492;96331;41032;26637;20409;21751;3631;37859;23404;42810;62103;51968;10113;7645
2013Q1;Stevilo zasedenih delovnih mest - SKUPAJ;664390;2537;167213;7619;9043;45062;93191;39814;25581;20098;21169;3536;37528;22312;41172;61106;50360;9764;7285
2013Q2;Stevilo zasedenih delovnih mest - SKUPAJ;669601;2553;167282;7696;9181;48342;91531;41291;25797;20119;21133;3525;37933;22787;41390;61068;50772;9806;7395
2013Q3;Stevilo zasedenih delovnih mest - SKUPAJ;671154;2543;167477;7749;9294;49686;91410;40978;25807;20153;20982;3485;37951;23324;41394;60488;51104;9826;7503
2013Q4;Stevilo zasedenih delovnih mest - SKUPAJ;669400;2529;167318;7754;9394;48226;91406;40802;25251;20326;20900;3463;38427;22946;41144;61251;51006;9824;7433
2014Q1;Stevilo zasedenih delovnih mest - SKUPAJ;663111;2515;166844;7675;9185;44558;90751;40871;24860;20370;20831;3495;37998;23053;40925;61355;50810;9770;7245
2014Q2;Stevilo zasedenih delovnih mest - SKUPAJ;672720;2473;167386;7808;9055;47879;91189;41284;25538;20278;20610;3523;38021;26039;41301;61554;51324;9961;7497
2014Q3;Stevilo zasedenih delovnih mest - SKUPAJ;676588;2439;168201;7814;9084;48996;91486;41637;26037;20233;20540;3560;37625;27679;41284;60745;51636;9973;7619
2014Q4;Stevilo zasedenih delovnih mest - SKUPAJ;677955;2420;168384;7789;9031;47786;91867;42007;25934;20457;20418;3577;37575;28628;40955;61696;51734;9992;7705
2015Q1;Stevilo zasedenih delovnih mest - SKUPAJ;677859;2378;169891;7507;8845;44264;91800;40594;24683;20593;20348;3469;36453;28717;47280;61926;51635;10078;7398
2015Q2;Stevilo zasedenih delovnih mest - SKUPAJ;687839;2371;170866;7529;9032;48740;92789;41115;25756;20699;20337;3499;36163;29577;47485;62101;52087;10198;7495
2015Q3;Stevilo zasedenih delovnih mest - SKUPAJ;690670;2361;172525;7512;9025;49264;92563;41232;26172;20879;20297;3449;36426;30324;47553;60702;52541;10267;7578
2015Q4;Stevilo zasedenih delovnih mest - SKUPAJ;695974;2347;174666;7494;8912;49177;93021;41944;25713;20873;20330;3463;36743;30278;47629;62499;53056;10259;7570
2016Q1;Stevilo zasedenih delovnih mest - SKUPAJ;689710;2317;174888;7350;8854;43722;92913;42021;26004;20866;20082;3522;36724;30058;47506;62127;53393;10027;7336
2016Q2;Stevilo zasedenih delovnih mest - SKUPAJ;703872;2297;176452;7413;8949;48132;94025;40898;27322;21180;20057;5720;36918;31490;47713;62843;54162;10567;7734
2016Q3;Stevilo zasedenih delovnih mest - SKUPAJ;707298;2258;177556;7410;8950;48411;94652;41216;27684;21691;20007;5677;37184;31662;47897;61458;54934;10735;7916
2016Q4;Stevilo zasedenih delovnih mest - SKUPAJ;716617;2210;179683;7410;8920;49056;95713;42211;27537;21710;19973;5727;37571;32999;47906;63950;55368;10649;8024
2017Q1;Stevilo zasedenih delovnih mest - SKUPAJ;711719;2200;179696;7280;8721;44603;95514;42614;27274;21834;19760;5771;37342;33273;47666;63973;55621;10603;7974
2017Q2;Stevilo zasedenih delovnih mest - SKUPAJ;726228;2267;182825;7385;8862;49514;96636;43396;28300;21972;19650;5803;37962;34610;47999;64216;55859;10875;8097
2017Q3;Stevilo zasedenih delovnih mest - SKUPAJ;730007;2252;184933;7421;8912;50192;96864;43933;28535;22032;19569;5798;38327;34815;48192;62870;56127;11009;8226
2017Q4;Stevilo zasedenih delovnih mest - SKUPAJ;740455;2270;187759;7407;8883;51271;98240;44790;28591;22462;19537;5868;38814;35261;48139;65429;56535;10928;8271
2018Q1;Stevilo zasedenih delovnih mest - SKUPAJ;738938;2255;189228;7270;8922;48012;98376;45060;28550;22630;19476;5944;39022;34686;47996;65570;56719;10987;8235
2018Q2;Stevilo zasedenih delovnih mest - SKUPAJ;751435;2288;191527;7342;9158;52621;99258;45859;29616;22884;19447;5976;39408;35044;48465;65786;57013;11224;8519
2018Q3;Stevilo zasedenih delovnih mest - SKUPAJ;753319;2243;192663;7332;9200;54039;99467;46357;30155;22901;19355;5926;39824;34675;48142;64048;57387;11152;8453
2018Q4;Stevilo zasedenih delovnih mest - SKUPAJ;764096;2236;195566;7358;9223;55585;100483;47495;30028;23394;19321;5992;40578;34602;48244;66701;57757;11051;8482
2019Q1;Stevilo zasedenih delovnih mest - SKUPAJ;762551;2265;196607;7176;9137;53769;100671;47993;29749;23627;19173;5951;40492;33898;47963;66656;57798;10925;8701
2019Q2;Stevilo zasedenih delovnih mest - SKUPAJ;774042;2323;197615;7303;9296;58645;101684;48651;30782;23783;19143;5924;40609;34452;48296;67059;58138;11263;9076
2019Q3;Stevilo zasedenih delovnih mest - SKUPAJ;773152;2303;196973;7293;9294;59083;101607;49007;30908;23894;19092;5927;40851;34059;48193;65614;58392;11334;9328
2019Q4;Stevilo zasedenih delovnih mest - SKUPAJ;780319;2267;197938;7287;9293;59969;102520;48868;30812;24441;19104;6003;41648;33849;48345;67971;59159;11316;9529
2020Q1;Stevilo zasedenih delovnih mest - SKUPAJ;789370;2234;197897;7268;9398;58624;104011;49418;31218;24861;19422;6148;43719;33633;48856;70470;61105;11429;9596
2020Q2;Stevilo zasedenih delovnih mest - SKUPAJ;765797;2144;191570;7325;9267;58202;100521;47739;27513;24548;18905;5959;42394;31114;48644;69575;60254;10940;9183
2020Q3;Stevilo zasedenih delovnih mest - SKUPAJ;765388;2136;189199;7350;9321;58984;100619;47199;29043;24666;18768;5963;42423;30858;48644;68407;61328;11009;9471
2020Q4;Stevilo zasedenih delovnih mest - SKUPAJ;771551;2097;191586;7373;9229;59914;101388;47693;26678;25160;18594;5933;42882;31260;48976;70202;62410;10769;9407
2021Q1;Stevilo zasedenih delovnih mest - SKUPAJ;768023;2125;193022;7294;10051;59059;101226;49240;25476;25119;18263;4061;41452;29836;48800;70466;62685;10539;9309
2021Q2;Stevilo zasedenih delovnih mest - SKUPAJ;779998;2152;195532;7408;10208;61722;102000;49496;27177;25350;18193;4100;41949;30519;49303;71114;63608;10635;9532
2021Q3;Stevilo zasedenih delovnih mest - SKUPAJ;783634;2069;195493;7408;10278;62843;102285;49486;30212;25448;18055;4037;42129;30730;49209;69559;63964;10809;9620
2021Q4;Stevilo zasedenih delovnih mest - SKUPAJ;793656;2096;197903;7492;10275;64123;103328;49982;30221;25873;18083;4101;42806;31046;49315;71978;64666;10694;9674
2022Q1;Stevilo zasedenih delovnih mest - SKUPAJ;792664;2150;199210;7402;10075;63903;103084;49874;29763;26108;17943;4136;42583;30445;48934;72056;64749;10605;9644
2022Q2;Stevilo zasedenih delovnih mest - SKUPAJ;798898;2142;200147;7442;10199;65874;103195;50181;30917;26469;17868;4196;42791;30635;48873;72220;65097;10800;9852
2022Q3;Stevilo zasedenih delovnih mest - SKUPAJ;800152;2142;200069;7526;10284;67063;103332;50218;31190;26495;17823;4186;43031;30602;48925;70935;65551;10916;9864
