SKD DEJAVNOST;SPOL;STATUS ZAPOSLITVE;LETO;RAZRED NETO - SKUPAJ;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2009;4028;108;208;249;284;298;354;349;295;272;298;249;199;168;136;116;98;80;79;76;112
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2010;3896;118;198;136;305;299;345;324;318;254;272;207;179;145;130;182;201;216;282;287;110
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2011;3539;129;215;256;250;299;274;290;231;239;189;169;156;145;118;100;97;79;79;76;117
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2012;3403;164;232;278;245;284;278;273;238;219;210;191;162;110;118;93;93;70;80;52;107
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2013;3435;165;283;236;250;274;283;261;255;228;203;160;144;120;109;84;97;79;60;76;102
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2014;3498;162;203;323;257;275;312;243;253;236;194;181;146;108;100;116;81;77;80;70;99
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2015;3485;172;225;268;266;294;288;268;251;214;174;192;154;125;107;100;79;68;68;75;97
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2016;2922;156;220;250;253;245;260;221;211;177;154;150;116;65;88;76;60;54;50;59;57
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2017;3049;215;204;250;274;264;265;218;193;178;169;166;101;102;89;89;74;53;57;55;60
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2018;2992;210;199;215;242;286;235;240;184;163;154;144;129;108;97;74;65;58;69;49;71
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2019;3229;215;247;253;276;282;261;231;197;182;181;141;150;112;97;80;76;62;59;66;61
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2020;2993;206;216;210;244;247;280;249;188;170;173;131;130;100;88;94;64;51;43;60;49
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2009;2804;69;114;152;172;190;210;255;233;209;217;191;156;120;102;90;77;52;52;50;93
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2010;2682;67;117;133;181;179;213;246;247;193;203;152;137;131;99;114;103;84;84;90;86
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2011;2462;69;126;155;151;187;185;230;171;187;167;131;115;107;113;110;94;68;76;68;92
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2012;2387;91;147;175;153;171;198;204;189;165;138;132;121;82;106;107;92;48;79;32;86
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2013;2391;96;155;165;165;176;191;186;197;170;151;122;92;105;93;107;92;68;41;66;85
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2014;2432;91;112;191;150;181;217;175;194;175;152;130;116;80;83;102;59;53;76;48;81
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2015;2414;97;123;167;174;180;196;194;191;158;135;146;116;94;87;73;53;52;49;50;79
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2016;1943;89;129;158;158;160;171;148;147;124;112;105;84;47;65;48;45;38;31;42;42
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2017;2046;136;126;154;149;176;185;148;141;135;114;124;68;68;74;64;61;40;37;36;43
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2018;1969;125;126;132;137;184;144;156;118;112;112;101;88;82;71;46;49;44;43;32;50
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2019;2111;134;156;169;158;159;165;150;140;130;125;98;106;76;76;50;56;41;41;40;41
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;MOSKI;ZAPOSLENI - SKUPAJ;2020;1911;132;159;119;131;142;175;156;112;118;118;88;99;69;54;69;42;31;25;41;31
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2009;1224;39;94;97;112;108;144;94;62;63;81;58;43;48;34;26;21;28;27;26;19
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2010;1214;51;81;83;124;120;132;78;71;61;69;55;41;54;31;39;23;29;30;35;24
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2011;1077;60;89;101;99;112;89;60;63;52;48;38;41;38;23;27;21;19;20;21;25
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2012;1016;73;85;103;92;96;80;69;49;52;46;59;41;28;20;26;27;22;20;20;21
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2013;1044;69;128;71;85;98;92;72;58;58;52;38;52;28;16;27;21;18;19;20;17
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2014;1066;71;91;132;100;94;95;68;59;61;42;51;37;28;17;27;22;24;20;22;18
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2015;1071;75;102;101;92;114;92;74;60;56;39;46;38;31;20;27;26;16;19;25;18
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2016;979;67;91;92;95;85;89;73;64;53;42;45;32;18;23;28;15;16;19;17;15
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2017;1003;79;78;96;125;88;80;70;52;43;55;42;33;26;24;25;21;13;20;19;17
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2018;1023;73;73;83;105;102;91;84;66;51;46;47;35;26;26;28;16;14;26;17;21
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2019;1118;81;91;84;118;123;96;81;57;52;56;43;44;36;21;30;20;21;18;26;20
A KMETIJSTVO IN LOV, GOZDARSTVO, RIBISTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2020;1082;74;57;91;113;105;105;93;76;52;55;43;31;31;34;25;22;20;18;19;18
B RUDARSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2009;2755;22;13;20;31;49;67;82;77;65;86;83;115;140;150;217;242;369;412;407;108
B RUDARSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2010;2626;19;23;53;45;33;64;66;78;64;72;81;95;113;147;187;135;199;163;162;97
B RUDARSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2011;2541;24;26;62;37;66;74;76;71;76;69;69;86;89;126;170;158;309;211;209;120
B RUDARSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2012;2343;18;24;54;36;49;75;66;71;58;62;60;72;83;113;128;171;289;333;304;179
B RUDARSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2013;2425;20;16;35;35;56;63;69;80;59;66;80;84;96;119;146;128;266;387;247;123
B RUDARSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2014;1976;22;24;27;28;43;57;62;63;58;50;51;83;90;105;87;149;151;254;230;182
B RUDARSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2015;2255;28;29;40;38;59;52;65;77;54;65;73;81;70;107;139;175;284;368;340;111
B RUDARSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2016;1963;15;34;56;44;50;51;61;63;61;55;51;41;61;77;96;151;237;343;328;88
B RUDARSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2017;2027;26;27;51;34;52;59;61;80;65;52;50;56;59;86;94;137;199;340;356;146
B RUDARSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2018;2095;19;26;23;31;60;68;59;65;62;58;48;43;56;82;113;168;225;382;368;139
B RUDARSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2019;2032;17;39;37;32;81;58;65;66;56;59;43;59;54;100;102;184;267;311;298;104
B RUDARSTVO;SPOL - SKUPAJ;ZAPOSLENI - SKUPAJ;2020;1856;25;32;25;22;38;60;44;39;37;44;33;37;57;86;134;206;253;316;261;107
B RUDARSTVO;MOSKI;ZAPOSLENI - SKUPAJ;2009;2432;18;22;54;27;44;59;70;67;53;78;77;92;103;106;175;216;345;392;382;100
B RUDARSTVO;MOSKI;ZAPOSLENI - SKUPAJ;2010;2318;14;19;73;42;43;54;65;52;58;79;86;92;83;110;117;121;225;150;141;91
B RUDARSTVO;MOSKI;ZAPOSLENI - SKUPAJ;2011;2220;20;30;40;38;51;58;61;72;65;78;53;72;67;99;132;135;283;202;193;110
B RUDARSTVO;MOSKI;ZAPOSLENI - SKUPAJ;2012;2052;19;20;38;33;44;62;61;67;53;52;53;56;69;86;98;173;238;318;334;161
B RUDARSTVO;MOSKI;ZAPOSLENI - SKUPAJ;2013;2137;19;16;41;31;58;57;63;76;58;59;54;71;72;93;114;167;259;365;331;109
B RUDARSTVO;MOSKI;ZAPOSLENI - SKUPAJ;2014;1633;11;22;27;24;43;51;58;49;62;50;56;77;96;124;104;133;151;213;230;164
B RUDARSTVO;MOSKI;ZAPOSLENI - SKUPAJ;2015;1984;11;30;38;32;43;59;58;62;59;55;58;56;58;79;120;157;262;350;321;95
B RUDARSTVO;MOSKI;ZAPOSLENI - SKUPAJ;2016;1714;32;23;30;48;56;39;51;54;55;50;36;55;46;60;76;128;220;319;308;77
B RUDARSTVO;MOSKI;ZAPOSLENI - SKUPAJ;2017;1761;16;29;36;48;41;51;51;54;65;39;44;55;57;71;81;148;182;275;331;107
B RUDARSTVO;MOSKI;ZAPOSLENI - SKUPAJ;2018;1794;16;15;13;20;45;51;44;54;45;47;44;55;46;58;100;145;204;356;345;116
B RUDARSTVO;MOSKI;ZAPOSLENI - SKUPAJ;2019;1743;33;23;24;48;63;48;50;55;55;46;52;55;35;78;87;164;246;287;280;89
B RUDARSTVO;MOSKI;ZAPOSLENI - SKUPAJ;2020;1617;59;29;14;59;64;51;51;58;61;55;62;27;39;68;122;186;241;292;241;89
B RUDARSTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2009;323;4;9;27;4;5;8;12;10;12;8;6;23;37;44;42;26;24;20;25;8
B RUDARSTVO;ZENSKE;ZAPOSLENI - SKUPAJ;2010;308;5;4;27;3;5;10;10;10;6;7;11;17;21;37;27;30;22;21;22;6
