MERITVE;LETO;SLOVENIJA;POMURSKA;PODRAVSKA;KOROSKA;SAVINJSKA;ZASAVSKA;POSAVSKA;JUGOVZHODNA SLOVENIJA;OSREDNJESLOVENSKA;GORENJSKA;PRIMORSKO-NOTRANJSKA;GORISKA;OBALNO-KRASKA
STOPNJA TVEGANJA REVSCINE (% OSEB);2008;12,3;20,1;18,8;15,2;14,5;9;14,9;12,4;8,3;8,7;8,2;7,6;10,6
STOPNJA TVEGANJA REVSCINE (% OSEB);2009;11,3;18,8;15,8;12,8;11,9;11,1;12;11,7;7,8;7,7;10,4;9,1;13,4
STOPNJA TVEGANJA REVSCINE (% OSEB);2010;12,7;21,3;17,9;15,3;14,2;10,6;14,3;12,1;8,5;10,7;11,9;9,1;12,5
STOPNJA TVEGANJA REVSCINE (% OSEB);2011;13,6;20,6;18,5;15,4;15,1;12,6;14,6;14,2;9,8;12,5;12,2;9,4;14,2
STOPNJA TVEGANJA REVSCINE (% OSEB);2012;13,5;19,2;18,7;12,9;14,2;13,2;16,5;17,2;9,7;11,3;9,2;11,4;13,9
STOPNJA TVEGANJA REVSCINE (% OSEB);2013;14,5;19,9;18,1;14,8;15,3;14;20,1;16,2;11,1;12,8;8,5;13,7;14,5
STOPNJA TVEGANJA REVSCINE (% OSEB);2014;14,5;17,5;17,3;14,8;15;14,7;19,9;17,4;11,4;13,3;11,3;12,3;15,1
STOPNJA TVEGANJA REVSCINE (% OSEB);2015;14,3;15,3;15,9;14,5;16,8;13,5;16,1;15,7;11,8;13,3;10,6;15,2;13,7
STOPNJA TVEGANJA REVSCINE (% OSEB);2016;13,9;14,9;15,5;13;15;15;17,3;13,9;12,5;14,2;9,5;14,8;8,7
STOPNJA TVEGANJA REVSCINE (% OSEB);2017;13,3;14,6;16,4;13,5;15,4;12;18,5;12,4;11,5;12,4;8,4;9,8;10,7
STOPNJA TVEGANJA REVSCINE (% OSEB);2018;13,3;16,5;15,6;13,9;15,4;15,6;11,1;11,1;11,3;10,3;13,6;15;12,3
STOPNJA TVEGANJA REVSCINE (% OSEB);2019;12;13,9;16,2;15,4;13,5;16,8;10,1;10;9,6;7,8;12,5;10,6;11,4
STOPNJA TVEGANJA REVSCINE (% OSEB);2020;12,4;15,1;16,5;17,7;12,4;15,4;9,4;9,7;9,8;9,2;12,5;11,4;15,8
STOPNJA TVEGANJA REVSCINE (% OSEB);2021;11,7;14;14,1;16,2;12,5;15,7;14,1;7,9;9;9;12;13,3;17
STOPNJA TVEGANJA REVSCINE (% OSEB);2022;12,1;15,9;14,6;13,2;13,3;10,1;12,1;9,2;10,2;9,1;14;7,4;24,8
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2008;241000;24000;56000;10000;36000;4000;11000;17000;42000;17000;4000;8000;11000
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2009;223000;22000;47000;10000;30000;6000;9000;16000;40000;15000;5000;10000;13000
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2010;254000;22000;56000;13000;37000;5000;9000;16000;44000;23000;6000;11000;12000
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2011;273000;22000;55000;13000;37000;6000;9000;19000;51000;28000;6000;12000;15000
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2012;271000;21000;55000;9000;34000;7000;11000;23000;51000;24000;5000;15000;15000
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2013;291000;23000;53000;11000;39000;6000;14000;24000;58000;27000;5000;16000;16000
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2014;290000;22000;52000;12000;38000;7000;14000;25000;59000;27000;6000;15000;15000
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2015;287000;20000;50000;13000;41000;8000;12000;22000;59000;25000;5000;19000;12000
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2016;280000;19000;49000;13000;38000;9000;11000;20000;64000;28000;5000;18000;6000
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2017;268000;19000;52000;14000;39000;7000;13000;17000;60000;25000;4000;11000;8000
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2018;268000;23000;49000;14000;41000;8000;8000;12000;60000;21000;5000;17000;9000
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2019;243000;19000;52000;16000;37000;9000;6000;10000;54000;15000;5000;13000;8000
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2020;254000;20000;54000;18000;35000;8000;6000;10000;56000;17000;5000;13000;11000
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2021;243000;18000;44000;10000;33000;9000;9000;9000;54000;21000;6000;16000;16000
STEVILO OSEB POD PRAGOM TVEGANJA REVSCINE;2022;251000;18000;44000;10000;34000;5000;8000;12000;62000;22000;5000;8000;22000
